Draw,Date,win1,win2,win3,win4,win5,win6,addno,fromlast,same_as_day,odd,even, 1-10, 11-20, 21-30, 31-40, 41-50,win1_no,win1_price,win2_no,win2_price,win3_no,win3_price,win4_no,win4_price,win5_no,win5_price,win6_no,win6_price,win7_no,win7_price
3304,25/9/17,7,18,26,34,41,48,8,,,2,4,1,1,1,1,2,2,1282131,5,107969,115,1912,357,336,5883,50,10314,25,108965,10
3303,21/9/17,9,14,15,28,35,37,2,15,,4,2,1,2,1,2,0,0,0,0,0,80,1893,218,379,4653,50,6804,25,90219,10
3302,18/9/17,3,15,22,24,32,43,35,15,,3,3,1,1,2,1,1,1,8030687,4,185751,338,1512,754,370,14744,50,19547,25,269684,10
3301,14/9/17,12,15,29,36,40,45,16,,,3,3,0,2,1,2,1,0,0,3,139682,143,2015,373,422,8036,50,11379,25,146644,10
3300,11/9/17,7,14,17,18,44,48,2,,,2,4,1,3,0,0,2,0,0,2,150702,116,1787,305,371,6146,50,8479,25,115649,10
3299,7/9/17,13,19,20,21,32,49,27,,,4,2,0,3,1,1,1,0,0,2,113611,85,1838,174,490,3956,50,5850,25,81339,10
3298,4/9/17,10,11,22,36,38,46,13,36,,1,5,1,1,1,2,1,2,2311781,1,451212,205,1514,361,469,8989,50,12255,25,169109,10
3297,31/8/17,3,36,39,40,44,47,14,39,,3,3,1,0,0,3,2,0,0,1,522170,68,2926,240,453,4554,50,6528,25,90630,10
3296,28/8/17,1,21,29,35,39,46,8,39,,5,1,1,0,2,2,1,0,0,0,0,64,2501,227,385,3516,50,6804,25,69429,10
3295,24/8/17,11,17,26,30,32,39,33,,,3,3,0,2,2,2,0,1,1020676,1,214880,46,3212,207,390,3996,50,5436,25,77580,10
3294,21/8/17,4,7,12,18,42,47,41,47,,2,4,2,2,0,0,2,1,7922612,8,95597,337,1561,801,359,18226,50,21603,25,327776,10
3293,17/8/17,11,15,29,39,41,47,25,39,,6,0,0,2,1,1,2,0,0,4,100087,112,2458,362,415,7077,50,10254,25,137708,10
3292,14/8/17,2,8,17,22,39,46,6,"39,46",,2,4,2,1,1,1,1,0,0,3,95297,124,1586,383,280,6666,50,11580,25,118231,10
3291,10/8/17,1,31,39,45,46,49,34,46,,5,1,1,0,0,2,3,0,0,1,216908,61,2445,176,463,3569,50,4247,25,66742,10
3290,7/8/17,5,17,34,40,42,46,22,,,2,4,1,1,0,2,2,2,555258,3,77931,76,2115,235,374,4080,50,5672,25,75485,10
3289,3/8/17,14,19,22,27,32,36,40,14,,2,4,0,2,2,2,0,1,1074800,1,226274,88,1768,197,431,4247,50,5308,25,78674,10
3288,31/7/17,11,13,14,16,30,43,47,14,,3,3,0,4,1,0,1,1,2469476,2,152360,105,1996,260,440,6262,50,6545,25,116697,10
3287,27/7/17,14,20,24,33,37,41,18,41,,3,3,0,2,1,2,1,0,0,2,107585,89,1663,214,378,4007,50,5224,25,70771,10
3286,24/7/17,2,22,23,32,35,41,7,"35,41",,3,3,1,0,2,2,1,1,4418860,5,85583,208,1415,526,306,8951,50,13705,25,153630,10
3285,20/7/17,8,11,35,39,41,43,13,11,,5,1,1,1,0,2,2,0,0,4,68632,87,2170,305,338,5196,50,7749,25,97663,10
3284,17/7/17,9,11,16,20,27,46,39,,,3,3,1,3,1,0,1,0,0,3,75950,90,1741,262,327,5986,50,5819,25,103939,10
3283,13/7/17,24,30,33,34,47,49,12,,,3,3,0,0,2,2,2,1,1059604,1,223075,54,2841,143,585,3279,50,5057,25,63660,10
3282,10/7/17,11,16,31,35,46,48,41,,,3,3,0,2,0,2,2,1,2546945,2,268100,113,1884,284,409,5520,50,7324,25,102824,10
3281,6/7/17,2,4,7,26,40,47,35,7,,2,4,3,0,1,1,1,0,0,0,0,83,1878,203,419,5103,50,5269,25,91926,10
3280,3/7/17,5,7,9,27,31,34,40,9,,5,1,3,0,1,2,0,2,559576,2,117806,158,1026,244,363,7999,50,6676,25,133621,10
3279,29/6/17,2,9,13,16,29,40,46,,29,3,3,2,2,1,1,0,2,2195158,3,138961,212,1352,333,470,10267,50,10482,25,185991,10
3278,26/6/17,14,20,21,23,25,37,15,20,,4,2,0,2,3,1,0,0,0,1,292980,110,1832,297,370,6329,50,8753,25,109179,10
3277,22/6/17,4,5,12,20,47,49,25,,,3,3,2,2,0,0,2,0,0,3,71472,65,2268,197,409,4381,50,7020,25,86167,10
3276,19/6/17,1,23,30,34,40,42,14,23,,2,4,1,0,2,2,1,1,4278784,4,102140,170,1653,351,437,7444,50,10061,25,135526,10
3275,15/6/17,20,21,23,37,39,47,31,"21,23",,5,1,0,1,2,2,1,0,0,2,133357,71,2583,212,472,4022,50,6178,25,80171,10
3274,12/6/17,9,10,19,21,23,43,15,,,5,1,2,1,2,0,1,0,0,3,75175,118,1314,326,260,6237,50,8389,25,104138,10
3273,8/6/17,5,7,22,25,34,40,1,40,,3,3,2,0,2,2,0,1,1046310,4,55069,91,1665,261,317,5021,50,7522,25,91133,10
3272,5/6/17,15,21,23,24,39,40,18,15,,4,2,0,1,3,2,0,1,2436206,3,97501,117,1719,255,431,5167,50,7401,25,98461,10
